,SurfaceDesignation2,SurfaceDesignation2Cleaned
436,Velvet,V (Velvet)
443,Velvet,V (Velvet)
743,K10,K 10
957,Velvet,V (Velvet)
1165,K10,K 10
2727,Y (Silk),Y (silk)
2735,Y (Silk),Y (silk)
2740,Y (Silk),Y (silk)
2749,Y (Silk),Y (silk)
2791,Y (Silk),Y (silk)
2797,Y (Silk),Y (silk)
2802,Y (Silk),Y (silk)
2812,Y (Silk),Y (silk)
3734,Y (Silk),Y (silk)
3740,Y (Silk),Y (silk)
3745,Y (Silk),Y (silk)
3755,Y (Silk),Y (silk)
3950,Y (Silk),Y (silk)
3954,Y (Silk),Y (silk)
3960,Y (Silk),Y (silk)
3970,Y (Silk),Y (silk)
3976,Y (Silk),Y (silk)
3982,Y (Silk),Y (silk)
3987,Y (Silk),Y (silk)
3997,Y (Silk),Y (silk)
5415,BW,B&W
5495,Y (Silk),Y (silk)
5499,Y (Silk),Y (silk)
5508,Y (Silk),Y (silk)
5556,Y (Silk),Y (silk)
5564,Y (Silk),Y (silk)
5566,Y (Silk),Y (silk)
5578,Y (Silk),Y (silk)
5875,,
