,Texture2,Texture2Cleaned
215,Velours,Velour
241,Velours,Velour
318,Pensee,Pense
324,Pensee,Pense
331,Velours,Velour
342,Special Grain,Special Grained
425,Special Grain,Special Grained
1086,Pelligran,Filigran
1087,Pelligran,Filigran
1092,Pelligran,Filigran
1446,Pelligran,Filigran
2577,Crystal Grain,Crystal
2709,Special Grain,Special Grained
2728,Texture,Textured
2787,Texture,Textured
3676,Fine,Fine Grained
3945,Texture,Textured
3972,Texture,Textured
4091,Suede Effect,Suede
4146,Fine,Fine Grained
4238,Fine,Fine Grained
4239,Fine,Fine Grained
4240,Fine,Fine Grained
4289,Fine,Fine Grained
4860,Fine,Fine Grained
5181,Fine,Fine Grained
5489,Texture,Textured
5557,Texture,Textured
6353,Fine,Fine Grained
7099,Texture,Textured
