,Weight2,Weight2Cleaned
1163,Extra Thin,Very Thin
5881,Medium Weight,Mid Weight
6262,Medium Weight,Mid Weight
6584,Medium Weight,Mid Weight
6585,Medium Weight,Mid Weight
6586,Medium Weight,Mid Weight
6587,Medium Weight,Mid Weight
6588,Medium Weight,Mid Weight
6589,Medium Weight,Mid Weight
7008,Medium Weight,Mid Weight
7009,Medium Weight,Mid Weight
7010,Medium Weight,Mid Weight
7011,Medium Weight,Mid Weight
7012,Medium Weight,Mid Weight
7013,Medium Weight,Mid Weight
7014,Medium Weight,Mid Weight
7017,Medium Weight,Mid Weight
7018,Medium Weight,Mid Weight
7019,Medium Weight,Mid Weight
7020,Medium Weight,Mid Weight
7030,Medium Weight,Mid Weight
7031,Medium Weight,Mid Weight
7032,Medium Weight,Mid Weight
7033,Medium Weight,Mid Weight
7034,Medium Weight,Mid Weight
7035,Medium Weight,Mid Weight
7036,Medium Weight,Mid Weight
7039,Medium Weight,Mid Weight
7040,Medium Weight,Mid Weight
7041,Medium Weight,Mid Weight
7042,Medium Weight,Mid Weight
